
*
***** Sword3PaySys Start (@ 2025/11/16 00:55:45.570) >>>>>
*

[2025/11/16 00:55:51] 1 >> DB Connect 0 is busy !
[2025/11/16 00:55:51] 2 >> Add Gateway(192.168.254.53 : 59041) Client 0 ! // -- At 0
[2025/11/16 00:55:51] 3 >> DB Connect 0 is free !
[2025/11/16 00:55:51] 4 >> DB Connect 0 is busy !
[2025/11/16 00:55:51] 5 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/16 00:55:51] 6 >> Gateway unlock OK!
[2025/11/16 00:55:51] 7 >> Gateway Connect OK!
[2025/11/16 01:39:13] 185 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:39:28] 186 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:39:43] 187 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:39:58] 188 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:40:13] 189 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:40:28] 190 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:40:43] 191 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:40:58] 192 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:41:13] 193 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:41:28] 194 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:41:43] 195 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:41:58] 196 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:42:13] 197 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:42:28] 198 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:42:43] 199 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:42:58] 200 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:43:13] 201 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:43:28] 202 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:43:43] 203 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:43:58] 204 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:44:13] 205 >> Gateway txjx(192.168.254.53): Ping 14(s)
[2025/11/16 01:44:28] 206 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:44:43] 207 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:44:58] 208 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:45:13] 209 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:45:28] 210 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:45:43] 211 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:45:58] 212 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:46:13] 213 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:46:28] 214 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:46:43] 215 >> Gateway txjx(192.168.254.53): Ping 14(s)
[2025/11/16 01:46:58] 216 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:47:13] 217 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:47:28] 218 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:47:43] 219 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:47:58] 220 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:48:13] 221 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:48:28] 222 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:48:43] 223 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:48:58] 224 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:49:13] 225 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:49:28] 226 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:49:43] 227 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:49:58] 228 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:50:13] 229 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:50:28] 230 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:50:43] 231 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:50:58] 232 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:51:13] 233 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:51:28] 234 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:51:43] 235 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:51:58] 236 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:52:13] 237 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:52:28] 238 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:52:43] 239 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:52:58] 240 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:53:13] 241 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:53:28] 242 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:53:43] 243 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:53:58] 244 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:54:13] 245 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:54:28] 246 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:54:43] 247 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:54:58] 248 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:55:13] 249 >> Gateway txjx(192.168.254.53): Ping 15(s)
